Entity,Type,Year,Status,Performance Area,Performance Indicator,Ratings,Score
CTBTO,Technical focus,2020,Finalized,Results-Based Management,PI1 Strategic Planning Gender-Related SDG Results,Missing,2
CTBTO,Technical focus,2020,Finalized,Results-Based Management,PI2 Reporting on Gender-Related SDG Results,Missing,2
CTBTO,Technical focus,2020,Finalized,Results-Based Management,PI3 Programmatic Gender-Related SDG Results not Directly Captured in the Strategic Plan,Not Applicable,1
CTBTO,Technical focus,2020,Finalized,Oversight,PI4 Evaluation,Not Applicable,1
CTBTO,Technical focus,2020,Finalized,Oversight,PI5 Audit,Missing,2
CTBTO,Technical focus,2020,Finalized,Accountability,PI6 Policy,Missing,2
CTBTO,Technical focus,2020,Finalized,Accountability,PI7 Leadership,Approaches requirements,3
CTBTO,Technical focus,2020,Finalized,Accountability,PI8 Gender-responsive performance management,Missing,2
CTBTO,Technical focus,2020,Finalized,Human And Financial Resources,PI9 Financial Resource Tracking,Missing,2
CTBTO,Technical focus,2020,Finalized,Human And Financial Resources,PI10 Financial Resource Allocation,Missing,2
CTBTO,Technical focus,2020,Finalized,Human And Financial Resources,PI11 Gender Architecture,Missing,2
CTBTO,Technical focus,2020,Finalized,Human And Financial Resources,PI12 Equal representation of women,Missing,2
CTBTO,Technical focus,2020,Finalized,Human And Financial Resources,PI13 Organizational culture,Approaches requirements,3
CTBTO,Technical focus,2020,Finalized,Capacity,PI14 Capacity Assessment,Approaches requirements,3
CTBTO,Technical focus,2020,Finalized,Capacity,PI15 Capacity Development,Approaches requirements,3
CTBTO,Technical focus,2020,Finalized,"Knowledge, Communication And Coherence",PI16 Knowledge and Communication,Missing,2
CTBTO,Technical focus,2020,Finalized,"Knowledge, Communication And Coherence",PI17 Coherence,Approaches requirements,3
CTBTO,Technical focus,2021,Finalized,Results-Based Management,PI1 Strategic Planning Gender-Related SDG Results,Missing,2
CTBTO,Technical focus,2021,Finalized,Results-Based Management,PI2 Reporting on Gender-Related SDG Results,Missing,2
CTBTO,Technical focus,2021,Finalized,Results-Based Management,PI3 Programmatic Gender-Related SDG Results not Directly Captured in the Strategic Plan,Not Applicable,1
CTBTO,Technical focus,2021,Finalized,Oversight,PI4 Evaluation,Not Applicable,1
CTBTO,Technical focus,2021,Finalized,Oversight,PI5 Audit,Missing,2
CTBTO,Technical focus,2021,Finalized,Accountability,PI6 Policy,Missing,2
CTBTO,Technical focus,2021,Finalized,Accountability,PI7 Leadership,Approaches requirements,3
CTBTO,Technical focus,2021,Finalized,Accountability,PI8 Gender-responsive performance management,Missing,2
CTBTO,Technical focus,2021,Finalized,Human And Financial Resources,PI9 Financial Resource Tracking,Missing,2
CTBTO,Technical focus,2021,Finalized,Human And Financial Resources,PI10 Financial Resource Allocation,Missing,2
CTBTO,Technical focus,2021,Finalized,Human And Financial Resources,PI11 Gender Architecture,Missing,2
CTBTO,Technical focus,2021,Finalized,Human And Financial Resources,PI12 Equal representation of women,Missing,2
CTBTO,Technical focus,2021,Finalized,Human And Financial Resources,PI13 Organizational culture,Approaches requirements,3
